id,sku,field,existing_value,archive_value,final_value,reason
product-reg5138,REG5138,dimensions,,,,both-empty
product-reg5138,REG5138,price,"$4,400","$4,400","$4,400",unchanged-same
product-reg5138,REG5138,material,,,,both-empty
product-reg5138,REG5138,style,French,French,French,unchanged-same
product-reg5138,REG5138,period,,,,both-empty
product-reg5138,REG5138,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-037391c,037391C,title,Pair of Victorian Stripped Musician Figures,Pair of Victorian Stripped Musician Figures,Pair of Victorian Stripped Musician Figures,unchanged-same
product-037391c,037391C,description,PAIR of French Victorian stripped life size carved male and female figures playing musical instruments with gilt trim and seated on pedestal bases.,PAIR of French Victorian stripped life size carved male and female figures playing musical instruments with gilt trim and seated on pedestal bases.,PAIR of French Victorian stripped life size carved male and female figures playing musical instruments with gilt trim and seated on pedestal bases.,unchanged-same
product-037391c,037391C,dimensions,,,,both-empty
product-037391c,037391C,price,"$56,000","$56,000","$56,000",unchanged-same
product-037391c,037391C,material,,"Stripped, carved","Stripped, carved",filled-from-archive
product-037391c,037391C,style,French,French,French,unchanged-same
product-037391c,037391C,period,,,,both-empty
product-037391c,037391C,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-reg5405,REG5405,title,American Contemporary Curtis Jere Oxidized Brass Wall Sculpture,American Contemporary Curtis Jere Oxidized Brass Wall Sculpture,American Contemporary Curtis Jere Oxidized Brass Wall Sculpture,unchanged-same
product-reg5405,REG5405,description,American contemporary wall sculpture of oxidized brass wire in 5 interconnected sunburst shapes (C. Jere).,American contemporary wall sculpture of oxidized brass wire in 5 interconnected sunburst shapes (C. Jere).,American contemporary wall sculpture of oxidized brass wire in 5 interconnected sunburst shapes (C. Jere).,unchanged-same
product-reg5405,REG5405,dimensions,,,,both-empty
product-reg5405,REG5405,price,"$5,400","$5,400","$5,400",unchanged-same
product-reg5405,REG5405,material,,Brass,Brass,filled-from-archive
product-reg5405,REG5405,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-reg5405,REG5405,period,,,,both-empty
product-reg5405,REG5405,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8716,NWL8716,title,Kar Studio Contemporary Circular Boucle Upholstered Lounge Chairs,Kar Studio Contemporary Circular Boucle Upholstered Lounge Chairs,Kar Studio Contemporary Circular Boucle Upholstered Lounge Chairs,unchanged-same
product-nwl8716,NWL8716,description,"2 Contemporary circular lounge chairs with beige boucle upholstery (PRICED EACH) (KAR STUDIO)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","2 Contemporary circular lounge chairs with beige boucle upholstery (PRICED EACH) (KAR STUDIO)

This piece is represented by PHILIA and offered in partnership with NEWEL..","2 Contemporary circular lounge chairs with beige boucle upholstery (PRICED EACH) (KAR STUDIO)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8716,NWL8716,dimensions,,,,both-empty
product-nwl8716,NWL8716,price,"$6,800","$6,800","$6,800",unchanged-same
product-nwl8716,NWL8716,material,,,,both-empty
product-nwl8716,NWL8716,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8716,NWL8716,period,,,,both-empty
product-nwl8716,NWL8716,availability,Available Qty: 2,Available Qty: 2,Available Qty: 2,unchanged-same
product-reg4671,REG4671,title,Curtis Jere Starburst Sculpture,Curtis Jere Starburst Sculpture,Curtis Jere Starburst Sculpture,unchanged-same
product-reg4671,REG4671,description,American Mid-Century Metal Starburst Wall Sculpture with spokes eminating from a centered circular disc. (CURTIS JERE).,American Mid-Century Metal Starburst Wall Sculpture with spokes eminating from a centered circular disc. (CURTIS JERE).,American Mid-Century Metal Starburst Wall Sculpture with spokes eminating from a centered circular disc. (CURTIS JERE).,unchanged-same
product-reg4671,REG4671,dimensions,,,,both-empty
product-reg4671,REG4671,price,"$3,800","$3,800","$3,800",unchanged-same
product-reg4671,REG4671,material,,"Bronze, metal","Bronze, metal",filled-from-archive
product-reg4671,REG4671,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-reg4671,REG4671,period,,,,both-empty
product-reg4671,REG4671,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-ppm030,PPM030,title,Louis XVI Style Mahogany and Brass Cheval Mirror,Louis XVI Style Mahogany and Brass Cheval Mirror,Louis XVI Style Mahogany and Brass Cheval Mirror,unchanged-same
product-ppm030,PPM030,description,French Louis XVI-style (19th Century) mahogany cheval mirror with fluted brass trim and bevelled glass..,French Louis XVI-style (19th Century) mahogany cheval mirror with fluted brass trim and bevelled glass..,French Louis XVI-style (19th Century) mahogany cheval mirror with fluted brass trim and bevelled glass..,unchanged-same
product-ppm030,PPM030,dimensions,,,,both-empty
product-ppm030,PPM030,price,"$13,000","$13,000","$13,000",unchanged-same
product-ppm030,PPM030,material,,"Brass, mahogany, metal, wood","Brass, mahogany, metal, wood",filled-from-archive
product-ppm030,PPM030,style,French,French,French,unchanged-same
product-ppm030,PPM030,period,,,,both-empty
product-ppm030,PPM030,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-reg5155,REG5155,title,Lane American Mid-Century Cubist Mirror,Lane American Mid-Century Cubist Mirror,Lane American Mid-Century Cubist Mirror,unchanged-same
product-reg5155,REG5155,description,American Mid-Century Brutalist style walnut double panel mirror with a geometric cubist vertical center panel (LANE FURNITURE CO).,American Mid-Century Brutalist style walnut double panel mirror with a geometric cubist vertical center panel (LANE FURNITURE CO).,American Mid-Century Brutalist style walnut double panel mirror with a geometric cubist vertical center panel (LANE FURNITURE CO).,unchanged-same
product-reg5155,REG5155,dimensions,,,,both-empty
product-reg5155,REG5155,price,"$1,850","$1,850","$1,850",unchanged-same
product-reg5155,REG5155,material,,Walnut,Walnut,filled-from-archive
product-reg5155,REG5155,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-reg5155,REG5155,period,,,,both-empty
product-reg5155,REG5155,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8753,NWL8753,title,"Lucas Tyra Morten Scandanavian Contemporary ""Kub"" Chair","Lucas Tyra Morten Scandanavian Contemporary ""Kub"" Chair","Lucas Tyra Morten Scandanavian Contemporary ""Kub"" Chair",unchanged-same
product-nwl8753,NWL8753,description,"Contemporary chair with angular armrests and geometrical body (LUCAS TYRA MORTEN)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","Contemporary chair with angular armrests and geometrical body (LUCAS TYRA MORTEN)

This piece is represented by PHILIA and offered in partnership with NEWEL..","Contemporary chair with angular armrests and geometrical body (LUCAS TYRA MORTEN)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8753,NWL8753,dimensions,,,,both-empty
product-nwl8753,NWL8753,price,"$8,500","$8,500","$8,500",unchanged-same
product-nwl8753,NWL8753,material,,Wood,Wood,filled-from-archive
product-nwl8753,NWL8753,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8753,NWL8753,period,,,,both-empty
product-nwl8753,NWL8753,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-reg4250,REG4250,title,"French Art Deco Pate-De-Verre Alligator Sculpture, Daum France","French Art Deco Pate-De-Verre Alligator Sculpture, Daum France","French Art Deco Pate-De-Verre Alligator Sculpture, Daum France",unchanged-same
product-reg4250,REG4250,description,"French Art Deco Pate-De-Verre Alligator Sculpture, Daum France.","French Art Deco Pate-De-Verre Alligator Sculpture, Daum France.","French Art Deco Pate-De-Verre Alligator Sculpture, Daum France.",unchanged-same
product-reg4250,REG4250,dimensions,,,,both-empty
product-reg4250,REG4250,price,"$3,800","$3,800","$3,800",unchanged-same
product-reg4250,REG4250,material,,,,both-empty
product-reg4250,REG4250,style,Art Deco,Art Deco,Art Deco,unchanged-same
product-reg4250,REG4250,period,,,,both-empty
product-reg4250,REG4250,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-037757b,037757B,title,Italian Neoclassic Inlaid Walnut Dolphin Design Cheval Mirror,Italian Neoclassic Inlaid Walnut Dolphin Design Cheval Mirror,Italian Neoclassic Inlaid Walnut Dolphin Design Cheval Mirror,unchanged-same
product-037757b,037757B,description,Italian Neo-classic (19th Century) inlaid walnut cheval mirror on a stand with carved dolphin-shaped sides and four drawers and a base shelf..,Italian Neo-classic (19th Century) inlaid walnut cheval mirror on a stand with carved dolphin-shaped sides and four drawers and a base shelf..,Italian Neo-classic (19th Century) inlaid walnut cheval mirror on a stand with carved dolphin-shaped sides and four drawers and a base shelf..,unchanged-same
product-037757b,037757B,dimensions,,,,both-empty
product-037757b,037757B,price,"$32,000","$32,000","$32,000",unchanged-same
product-037757b,037757B,material,,"Inlaid, walnut, wood","Inlaid, walnut, wood",filled-from-archive
product-037757b,037757B,style,Italian,Italian,Italian,unchanged-same
product-037757b,037757B,period,,,,both-empty
product-037757b,037757B,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-037744,037744,title,Pair of Italian Renaissance Painted Cavalier Figures,Pair of Italian Renaissance Painted Cavalier Figures,Pair of Italian Renaissance Painted Cavalier Figures,unchanged-same
product-037744,037744,description,PAIR of Italian Renaissance style (19th Cent) carved and painted large figures of cavaliers holding mandolin and spear.,PAIR of Italian Renaissance style (19th Cent) carved and painted large figures of cavaliers holding mandolin and spear.,PAIR of Italian Renaissance style (19th Cent) carved and painted large figures of cavaliers holding mandolin and spear.,unchanged-same
product-037744,037744,dimensions,,,,both-empty
product-037744,037744,price,"$16,000","$16,000","$16,000",unchanged-same
product-037744,037744,material,,"Painted, carved","Painted, carved",filled-from-archive
product-037744,037744,style,Italian,Italian,Italian,unchanged-same
product-037744,037744,period,,,,both-empty
product-037744,037744,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-050057,050057,title,Mid-Century Lionel Model Locomotive Train,Mid-Century Lionel Model Locomotive Train,Mid-Century Lionel Model Locomotive Train,unchanged-same
product-050057,050057,description,American 1950s Lionel model l# 8213 locomotive with 4 large wheel and a companion coal car (Rio Grande).,American 1950s Lionel model l# 8213 locomotive with 4 large wheel and a companion coal car (Rio Grande).,American 1950s Lionel model l# 8213 locomotive with 4 large wheel and a companion coal car (Rio Grande).,unchanged-same
product-050057,050057,dimensions,,,,both-empty
product-050057,050057,price,$120,$120,$120,unchanged-same
product-050057,050057,material,,Metal,Metal,filled-from-archive
product-050057,050057,style,American,American,American,unchanged-same
product-050057,050057,period,,,,both-empty
product-050057,050057,availability,Available Qty: 2,Available Qty: 2,Available Qty: 2,unchanged-same
product-reg4007,REG4007,title,Sue et Mare French Art Deco Giltwood Upholstered Bench,Sue et Mare French Art Deco Giltwood Upholstered Bench,Sue et Mare French Art Deco Giltwood Upholstered Bench,unchanged-same
product-reg4007,REG4007,description,"French Art Deco (Early 20th Century) giltwood rectangular bench with outwardly flared scroll form handles, and carved fluted embellishments, the seat padded and upholstered in a pale moss green floral patterned fabric. (SUE ET MARE).","French Art Deco (Early 20th Century) giltwood rectangular bench with outwardly flared scroll form handles, and carved fluted embellishments, the seat padded and upholstered in a pale moss green floral patterned fabric. (SUE ET MARE).","French Art Deco (Early 20th Century) giltwood rectangular bench with outwardly flared scroll form handles, and carved fluted embellishments, the seat padded and upholstered in a pale moss green floral patterned fabric. (SUE ET MARE).",unchanged-same
product-reg4007,REG4007,dimensions,,,,both-empty
product-reg4007,REG4007,price,"$8,250","$8,250","$8,250",unchanged-same
product-reg4007,REG4007,material,,"Carved, fabric, gilt / giltwood, upholstered, wood","Carved, fabric, gilt / giltwood, upholstered, wood",filled-from-archive
product-reg4007,REG4007,style,Art Deco,Art Deco,Art Deco,unchanged-same
product-reg4007,REG4007,period,,,,both-empty
product-reg4007,REG4007,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-051113,051113,title,Egyptian Carved Sarcophagus Figure,Egyptian Carved Sarcophagus Figure,Egyptian Carved Sarcophagus Figure,unchanged-same
product-051113,051113,description,Egyptian carved and painted life size sarcophagus figure (19/20th Cent).,Egyptian carved and painted life size sarcophagus figure (19/20th Cent).,Egyptian carved and painted life size sarcophagus figure (19/20th Cent).,unchanged-same
product-051113,051113,dimensions,,,,both-empty
product-051113,051113,price,"$16,500","$16,500","$16,500",unchanged-same
product-051113,051113,material,,"Painted, carved","Painted, carved",filled-from-archive
product-051113,051113,style,Middle Eastern,Middle Eastern,Middle Eastern,unchanged-same
product-051113,051113,period,,,,both-empty
product-051113,051113,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-con118,CON118,title,Louis XVI Style Carved Giltwood Cheval Mirror,Louis XVI Style Carved Giltwood Cheval Mirror,Louis XVI Style Carved Giltwood Cheval Mirror,unchanged-same
product-con118,CON118,description,French Louis XVI-style (19th Century) giltwood cheval mirror with finials and a carved crest..,French Louis XVI-style (19th Century) giltwood cheval mirror with finials and a carved crest..,French Louis XVI-style (19th Century) giltwood cheval mirror with finials and a carved crest..,unchanged-same
product-con118,CON118,dimensions,,,,both-empty
product-con118,CON118,price,"$9,500","$9,500","$9,500",unchanged-same
product-con118,CON118,material,,"Carved, crest, gilt / giltwood, giltwood, wood","Carved, crest, gilt / giltwood, giltwood, wood",filled-from-archive
product-con118,CON118,style,French,French,French,unchanged-same
product-con118,CON118,period,,,,both-empty
product-con118,CON118,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-050060,050060,title,Mid-Century Box of Lionel Model Train Parts,Mid-Century Box of Lionel Model Train Parts,Mid-Century Box of Lionel Model Train Parts,unchanged-same
product-050060,050060,description,American 1950s box lot of 14 various Lionel accessory train cars and rolling stock.,American 1950s box lot of 14 various Lionel accessory train cars and rolling stock.,American 1950s box lot of 14 various Lionel accessory train cars and rolling stock.,unchanged-same
product-050060,050060,dimensions,,,,both-empty
product-050060,050060,price,$375,$375,$375,unchanged-same
product-050060,050060,material,,Metal,Metal,filled-from-archive
product-050060,050060,style,American,American,American,unchanged-same
product-050060,050060,period,,,,both-empty
product-050060,050060,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-042147b,042147B,title,Pair of Outdoor Iron Nubian Women Statuaries,Pair of Outdoor Iron Nubian Women Statuaries,Pair of Outdoor Iron Nubian Women Statuaries,unchanged-same
product-042147b,042147B,description,"PAIR of Outdoor French Egyptian Revival style cast iron women, each holding a torch aloft and standing on spreading square bases (mid 19th Cent., attr. Val D&#039;Osne) (PRICED AS PAIR).","PAIR of Outdoor French Egyptian Revival style cast iron women, each holding a torch aloft and standing on spreading square bases (mid 19th Cent., attr. Val D&#039;Osne) (PRICED AS PAIR).","PAIR of Outdoor French Egyptian Revival style cast iron women, each holding a torch aloft and standing on spreading square bases (mid 19th Cent., attr. Val D&#039;Osne) (PRICED AS PAIR).",unchanged-same
product-042147b,042147B,dimensions,,,,both-empty
product-042147b,042147B,price,"$48,000","$48,000","$48,000",unchanged-same
product-042147b,042147B,material,,"Iron, iron / wrought iron","Iron, iron / wrought iron",filled-from-archive
product-042147b,042147B,style,"Misc. Style, Outdoor","Misc. Style, Outdoor","Misc. Style, Outdoor",unchanged-same
product-042147b,042147B,period,,,,both-empty
product-042147b,042147B,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8703,NWL8703,title,"Kar Studio Contemporary Black Amorphous ""Playdough"" Fiberglass Side Chairs","Kar Studio Contemporary Black Amorphous ""Playdough"" Fiberglass Side Chairs","Kar Studio Contemporary Black Amorphous ""Playdough"" Fiberglass Side Chairs",unchanged-same
product-nwl8703,NWL8703,description,"SET of 3 Contemporary black amorphous fiberglass side chairs (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","SET of 3 Contemporary black amorphous fiberglass side chairs (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with NEWEL..","SET of 3 Contemporary black amorphous fiberglass side chairs (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8703,NWL8703,dimensions,,,,both-empty
product-nwl8703,NWL8703,price,"$3,500","$3,500","$3,500",unchanged-same
product-nwl8703,NWL8703,material,,Fiberglass,Fiberglass,filled-from-archive
product-nwl8703,NWL8703,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8703,NWL8703,period,,,,both-empty
product-nwl8703,NWL8703,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-042147c,042147C,title,Outdoor Iron Female Figure Statuary,Outdoor Iron Female Figure Statuary,Outdoor Iron Female Figure Statuary,unchanged-same
product-042147c,042147C,description,SET of 4 Outdoor painted iron classic life size female figures holding small urn above head (19th Cent.).,SET of 4 Outdoor painted iron classic life size female figures holding small urn above head (19th Cent.).,SET of 4 Outdoor painted iron classic life size female figures holding small urn above head (19th Cent.).,unchanged-same
product-042147c,042147C,dimensions,,,,both-empty
product-042147c,042147C,price,"$60,000","$60,000","$60,000",unchanged-same
product-042147c,042147C,material,,"Iron, iron / wrought iron","Iron, iron / wrought iron",filled-from-archive
product-042147c,042147C,style,Outdoor,Outdoor,Outdoor,unchanged-same
product-042147c,042147C,period,,,,both-empty
product-042147c,042147C,availability,,,,both-empty
product-031323,031323,title,Pair of Burmese Carved Teak Standing Figures,Pair of Burmese Carved Teak Standing Figures,Pair of Burmese Carved Teak Standing Figures,unchanged-same
product-031323,031323,description,PAIR of Asian Burmese (19th Cent) carved teak life size standing figures  with one extended arm and the other holding a rod on a low stylized base (PRICED AS PAIR).,PAIR of Asian Burmese (19th Cent) carved teak life size standing figures  with one extended arm and the other holding a rod on a low stylized base (PRICED AS PAIR).,PAIR of Asian Burmese (19th Cent) carved teak life size standing figures  with one extended arm and the other holding a rod on a low stylized base (PRICED AS PAIR).,unchanged-same
product-031323,031323,dimensions,,,,both-empty
product-031323,031323,price,"$21,500","$21,500","$21,500",unchanged-same
product-031323,031323,material,,"Teak, carved","Teak, carved",filled-from-archive
product-031323,031323,style,Asian,Asian,Asian,unchanged-same
product-031323,031323,period,,,,both-empty
product-031323,031323,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8750,NWL8750,title,"Kar Studio Contemporary ""Black Tooth"" Stools","Kar Studio Contemporary ""Black Tooth"" Stools","Kar Studio Contemporary ""Black Tooth"" Stools",unchanged-same
product-nwl8750,NWL8750,description,"Pair of Contemporary stools in a black fiberglass molded forms that resemble a leveled molar tooth (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","Pair of Contemporary stools in a black fiberglass molded forms that resemble a leveled molar tooth (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with NEWEL..","Pair of Contemporary stools in a black fiberglass molded forms that resemble a leveled molar tooth (KAR STUDIO) (PRICED EACH)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8750,NWL8750,dimensions,,,,both-empty
product-nwl8750,NWL8750,price,"$2,200","$2,200","$2,200",unchanged-same
product-nwl8750,NWL8750,material,,Fiberglass,Fiberglass,filled-from-archive
product-nwl8750,NWL8750,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8750,NWL8750,period,,,,both-empty
product-nwl8750,NWL8750,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-056497,056497,title,Outdoor Country Iron Deer Statuary,Outdoor Country Iron Deer Statuary,Outdoor Country Iron Deer Statuary,unchanged-same
product-056497,056497,description,Outdoor American Country style (19/20th Century) brown painted iron life size figure of deer (attributed to J. W. FISKE).,Outdoor American Country style (19/20th Century) brown painted iron life size figure of deer (attributed to J. W. FISKE).,Outdoor American Country style (19/20th Century) brown painted iron life size figure of deer (attributed to J. W. FISKE).,unchanged-same
product-056497,056497,dimensions,,,,both-empty
product-056497,056497,price,"$15,000","$15,000","$15,000",unchanged-same
product-056497,056497,material,,"Iron, iron / wrought iron","Iron, iron / wrought iron",filled-from-archive
product-056497,056497,style,Outdoor,Outdoor,Outdoor,unchanged-same
product-056497,056497,period,,,,both-empty
product-056497,056497,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-037844,037844,title,American Carousel Style Turkish Figure,American Carousel Style Turkish Figure,American Carousel Style Turkish Figure,unchanged-same
product-037844,037844,description,American Carousel style (19th Cent) carved and painted life size Turkish figure with raised hands.,American Carousel style (19th Cent) carved and painted life size Turkish figure with raised hands.,American Carousel style (19th Cent) carved and painted life size Turkish figure with raised hands.,unchanged-same
product-037844,037844,dimensions,,,,both-empty
product-037844,037844,price,"$22,500","$22,500","$22,500",unchanged-same
product-037844,037844,material,,"Carved, painted","Carved, painted",filled-from-archive
product-037844,037844,style,American,American,American,unchanged-same
product-037844,037844,period,,,,both-empty
product-037844,037844,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8752,NWL8752,title,"Sizar Alexis Scandanavian Contemporary ""Itooraba"" Natural Pine Stool","Sizar Alexis Scandanavian Contemporary ""Itooraba"" Natural Pine Stool","Sizar Alexis Scandanavian Contemporary ""Itooraba"" Natural Pine Stool",unchanged-same
product-nwl8752,NWL8752,description,"Contemporary natural pine geometrically shaped stool ending on three pegged slab of legs attached to the square top (SIZAR ALEXIS)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","Contemporary natural pine geometrically shaped stool ending on three pegged slab of legs attached to the square top (SIZAR ALEXIS)

This piece is represented by PHILIA and offered in partnership with NEWEL..","Contemporary natural pine geometrically shaped stool ending on three pegged slab of legs attached to the square top (SIZAR ALEXIS)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8752,NWL8752,dimensions,,,,both-empty
product-nwl8752,NWL8752,price,"$4,800","$4,800","$4,800",unchanged-same
product-nwl8752,NWL8752,material,,Pine,Pine,filled-from-archive
product-nwl8752,NWL8752,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8752,NWL8752,period,,,,both-empty
product-nwl8752,NWL8752,availability,,,,both-empty
product-041562a,041562A,title,Pair of Italian Renaissance Religious Figures,Pair of Italian Renaissance Religious Figures,Pair of Italian Renaissance Religious Figures,unchanged-same
product-041562a,041562A,description,PAIR of Italian Renaissance style polychromed large standing religious figures wearing blue cape (19th Century).,PAIR of Italian Renaissance style polychromed large standing religious figures wearing blue cape (19th Century).,PAIR of Italian Renaissance style polychromed large standing religious figures wearing blue cape (19th Century).,unchanged-same
product-041562a,041562A,dimensions,,,,both-empty
product-041562a,041562A,price,"$22,500","$22,500","$22,500",unchanged-same
product-041562a,041562A,material,,,,both-empty
product-041562a,041562A,style,Italian,Italian,Italian,unchanged-same
product-041562a,041562A,period,,,,both-empty
product-041562a,041562A,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-mp1220b,MP1220B,title,Mid-Century Metal Model Airplane,Mid-Century Metal Model Airplane,Mid-Century Metal Model Airplane,unchanged-same
product-mp1220b,MP1220B,description,American Mid-Century metal model airplane with propellers mounted on a ½ globe base (with a light inside the plane).,American Mid-Century metal model airplane with propellers mounted on a ½ globe base (with a light inside the plane).,American Mid-Century metal model airplane with propellers mounted on a ½ globe base (with a light inside the plane).,unchanged-same
product-mp1220b,MP1220B,dimensions,,,,both-empty
product-mp1220b,MP1220B,price,$950,$950,$950,unchanged-same
product-mp1220b,MP1220B,material,,"Metal, rope","Metal, rope",filled-from-archive
product-mp1220b,MP1220B,style,Mid-Century,Mid-Century,Mid-Century,unchanged-same
product-mp1220b,MP1220B,period,,,,both-empty
product-mp1220b,MP1220B,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-052838,052838,title,American Rustic Old Hickory arm chair,American Rustic Old Hickory arm chair,American Rustic Old Hickory arm chair,unchanged-same
product-052838,052838,description,"American Rustic Old Hickory arm chair with oak slat seat and 6 spindle back  (signed with brand: Old Hickery, Martinsville Indiana).","American Rustic Old Hickory arm chair with oak slat seat and 6 spindle back  (signed with brand: Old Hickery, Martinsville Indiana).","American Rustic Old Hickory arm chair with oak slat seat and 6 spindle back  (signed with brand: Old Hickery, Martinsville Indiana).",unchanged-same
product-052838,052838,dimensions,,,,both-empty
product-052838,052838,price,"$1,650","$1,650","$1,650",unchanged-same
product-052838,052838,material,,"Hickory, oak, slat","Hickory, oak, slat",filled-from-archive
product-052838,052838,style,Rustic,Rustic,Rustic,unchanged-same
product-052838,052838,period,,,,both-empty
product-052838,052838,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8727,NWL8727,title,Kar Studio Chinese Contemporary High Back MDF Frame Chairs,Kar Studio Chinese Contemporary High Back MDF Frame Chairs,Kar Studio Chinese Contemporary High Back MDF Frame Chairs,unchanged-same
product-nwl8727,NWL8727,description,"4 Contemporary High Back MDF frame chairs with rounded edges ending on three plank legs (PRICED EACH)(KAR STUDIO)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","4 Contemporary High Back MDF frame chairs with rounded edges ending on three plank legs (PRICED EACH)(KAR STUDIO)

This piece is represented by PHILIA and offered in partnership with NEWEL..","4 Contemporary High Back MDF frame chairs with rounded edges ending on three plank legs (PRICED EACH)(KAR STUDIO)

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8727,NWL8727,dimensions,,,,both-empty
product-nwl8727,NWL8727,price,"$1,850","$1,850","$1,850",unchanged-same
product-nwl8727,NWL8727,material,,,,both-empty
product-nwl8727,NWL8727,style,Contemporary/Post-War Design,Contemporary/Post-War Design,Contemporary/Post-War Design,unchanged-same
product-nwl8727,NWL8727,period,,,,both-empty
product-nwl8727,NWL8727,availability,Available Qty: 4,Available Qty: 4,Available Qty: 4,unchanged-same
product-064625,064625,title,Swedish Gustavian style burl & birch tIlt-top table,Swedish Gustavian style burl & birch tIlt-top table,Swedish Gustavian style burl & birch tIlt-top table,unchanged-same
product-064625,064625,description,"19th c., Sweden, round top with burl veneer, resting on a baluster shaped base with three elegantly curved tripod legs, two tags from previous auctions on the underside, 30.5""h x 31"" dia.","19th c., Sweden, round top with burl veneer, resting on a baluster shaped base with three elegantly curved tripod legs, two tags from previous auctions on the underside, 30.5""h x 31"" dia.","19th c., Sweden, round top with burl veneer, resting on a baluster shaped base with three elegantly curved tripod legs, two tags from previous auctions on the underside, 30.5""h x 31"" dia.",unchanged-same
product-064625,064625,dimensions,,,,both-empty
product-064625,064625,price,"$4,800","$4,800","$4,800",unchanged-same
product-064625,064625,material,,"Brass, mahogany","Brass, mahogany",filled-from-archive
product-064625,064625,style,,,,both-empty
product-064625,064625,period,,,,both-empty
product-064625,064625,availability,Available Qty: 1,Available Qty: 1,Available Qty: 1,unchanged-same
product-nwl8846,NWL8846,title,Cedric Breisacher French Contemporary Hand-Sculpted Wooden Stool,Cedric Breisacher French Contemporary Hand-Sculpted Wooden Stool,Cedric Breisacher French Contemporary Hand-Sculpted Wooden Stool,unchanged-same
product-nwl8846,NWL8846,description,"French Contemporary wooden stool hand carved and sculpted from Sycamore

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..","French Contemporary wooden stool hand carved and sculpted from Sycamore

This piece is represented by PHILIA and offered in partnership with NEWEL..","French Contemporary wooden stool hand carved and sculpted from Sycamore

This piece is represented by PHILIA and offered in partnership with Reynolds Antique House..",kept-existing
product-nwl8846,NWL8846,dimensions,,,,both-empty
